time(s), algorithm, edges, vertices 
0.007689, Toroslu, 1024.0, 1024 
0.012059, Tree, 1024.0, 1024 
0.006272, SCC, 1024.0, 1024 
0.035146, Dijkstra, 1024.0, 1024 
0.322597, Hidden Paths, 1024.0, 1024 
0.422685, Uniform Paths, 1024.0, 1024 
0.007318, Toroslu, 1024.0, 1024 
0.011936, Tree, 1024.0, 1024 
0.006131, SCC, 1024.0, 1024 
0.035080, Dijkstra, 1024.0, 1024 
0.319237, Hidden Paths, 1024.0, 1024 
0.418416, Uniform Paths, 1024.0, 1024 
0.007285, Toroslu, 1024.0, 1024 
0.011959, Tree, 1024.0, 1024 
0.006043, SCC, 1024.0, 1024 
0.035367, Dijkstra, 1024.0, 1024 
0.322596, Hidden Paths, 1024.0, 1024 
0.426760, Uniform Paths, 1024.0, 1024 
0.007172, Toroslu, 1024.0, 1024 
0.011825, Tree, 1024.0, 1024 
0.006193, SCC, 1024.0, 1024 
0.035228, Dijkstra, 1024.0, 1024 
0.322354, Hidden Paths, 1024.0, 1024 
0.421525, Uniform Paths, 1024.0, 1024 
0.007282, Toroslu, 1024.0, 1024 
0.011912, Tree, 1024.0, 1024 
0.006318, SCC, 1024.0, 1024 
0.035109, Dijkstra, 1024.0, 1024 
0.320790, Hidden Paths, 1024.0, 1024 
0.438809, Uniform Paths, 1024.0, 1024 
0.012605, Toroslu, 2048.0, 1024 
0.015546, Tree, 2048.0, 1024 
0.008102, SCC, 2048.0, 1024 
0.126298, Dijkstra, 2048.0, 1024 
0.437816, Hidden Paths, 2048.0, 1024 
0.530543, Uniform Paths, 2048.0, 1024 
0.012262, Toroslu, 2048.0, 1024 
0.015444, Tree, 2048.0, 1024 
0.008155, SCC, 2048.0, 1024 
0.125448, Dijkstra, 2048.0, 1024 
0.418741, Hidden Paths, 2048.0, 1024 
0.531009, Uniform Paths, 2048.0, 1024 
0.012085, Toroslu, 2048.0, 1024 
0.014834, Tree, 2048.0, 1024 
0.008061, SCC, 2048.0, 1024 
0.125133, Dijkstra, 2048.0, 1024 
0.421753, Hidden Paths, 2048.0, 1024 
0.531009, Uniform Paths, 2048.0, 1024 
0.012238, Toroslu, 2048.0, 1024 
0.015486, Tree, 2048.0, 1024 
0.008094, SCC, 2048.0, 1024 
0.126981, Dijkstra, 2048.0, 1024 
0.422447, Hidden Paths, 2048.0, 1024 
0.532450, Uniform Paths, 2048.0, 1024 
0.012465, Toroslu, 2048.0, 1024 
0.015424, Tree, 2048.0, 1024 
0.007845, SCC, 2048.0, 1024 
0.126017, Dijkstra, 2048.0, 1024 
0.424921, Hidden Paths, 2048.0, 1024 
0.532293, Uniform Paths, 2048.0, 1024 
0.021557, Toroslu, 4096.0, 1024 
0.020556, Tree, 4096.0, 1024 
0.011394, SCC, 4096.0, 1024 
0.163556, Dijkstra, 4096.0, 1024 
0.448887, Hidden Paths, 4096.0, 1024 
0.563167, Uniform Paths, 4096.0, 1024 
0.021727, Toroslu, 4096.0, 1024 
0.020239, Tree, 4096.0, 1024 
0.011475, SCC, 4096.0, 1024 
0.163081, Dijkstra, 4096.0, 1024 
0.447027, Hidden Paths, 4096.0, 1024 
0.562618, Uniform Paths, 4096.0, 1024 
0.021401, Toroslu, 4096.0, 1024 
0.020265, Tree, 4096.0, 1024 
0.011405, SCC, 4096.0, 1024 
0.164387, Dijkstra, 4096.0, 1024 
0.448623, Hidden Paths, 4096.0, 1024 
0.559119, Uniform Paths, 4096.0, 1024 
0.021362, Toroslu, 4096.0, 1024 
0.020062, Tree, 4096.0, 1024 
0.011239, SCC, 4096.0, 1024 
0.164580, Dijkstra, 4096.0, 1024 
0.449550, Hidden Paths, 4096.0, 1024 
0.565554, Uniform Paths, 4096.0, 1024 
0.021837, Toroslu, 4096.0, 1024 
0.019897, Tree, 4096.0, 1024 
0.011166, SCC, 4096.0, 1024 
0.164359, Dijkstra, 4096.0, 1024 
0.452367, Hidden Paths, 4096.0, 1024 
0.565822, Uniform Paths, 4096.0, 1024 
0.038417, Toroslu, 10240.0, 1024 
0.026773, Tree, 10240.0, 1024 
0.016175, SCC, 10240.0, 1024 
0.199473, Dijkstra, 10240.0, 1024 
0.455727, Hidden Paths, 10240.0, 1024 
0.576967, Uniform Paths, 10240.0, 1024 
0.038413, Toroslu, 10240.0, 1024 
0.026603, Tree, 10240.0, 1024 
0.016315, SCC, 10240.0, 1024 
0.201228, Dijkstra, 10240.0, 1024 
0.457172, Hidden Paths, 10240.0, 1024 
0.580205, Uniform Paths, 10240.0, 1024 
0.039295, Toroslu, 10240.0, 1024 
0.026956, Tree, 10240.0, 1024 
0.016603, SCC, 10240.0, 1024 
0.200136, Dijkstra, 10240.0, 1024 
0.458852, Hidden Paths, 10240.0, 1024 
0.577891, Uniform Paths, 10240.0, 1024 
0.038319, Toroslu, 10240.0, 1024 
0.026468, Tree, 10240.0, 1024 
0.016297, SCC, 10240.0, 1024 
0.199471, Dijkstra, 10240.0, 1024 
0.454017, Hidden Paths, 10240.0, 1024 
0.570415, Uniform Paths, 10240.0, 1024 
0.038183, Toroslu, 10240.0, 1024 
0.026577, Tree, 10240.0, 1024 
0.016209, SCC, 10240.0, 1024 
0.198672, Dijkstra, 10240.0, 1024 
0.452755, Hidden Paths, 10240.0, 1024 
0.570613, Uniform Paths, 10240.0, 1024 
0.049163, Toroslu, 20480.0, 1024 
0.030428, Tree, 20480.0, 1024 
0.018987, SCC, 20480.0, 1024 
0.223326, Dijkstra, 20480.0, 1024 
0.458002, Hidden Paths, 20480.0, 1024 
0.587663, Uniform Paths, 20480.0, 1024 
0.049737, Toroslu, 20480.0, 1024 
0.030184, Tree, 20480.0, 1024 
0.018868, SCC, 20480.0, 1024 
0.224226, Dijkstra, 20480.0, 1024 
0.457139, Hidden Paths, 20480.0, 1024 
0.583289, Uniform Paths, 20480.0, 1024 
0.049818, Toroslu, 20480.0, 1024 
0.030205, Tree, 20480.0, 1024 
0.019281, SCC, 20480.0, 1024 
0.224195, Dijkstra, 20480.0, 1024 
0.461204, Hidden Paths, 20480.0, 1024 
0.584671, Uniform Paths, 20480.0, 1024 
0.049732, Toroslu, 20480.0, 1024 
0.030009, Tree, 20480.0, 1024 
0.019375, SCC, 20480.0, 1024 
0.225567, Dijkstra, 20480.0, 1024 
0.457459, Hidden Paths, 20480.0, 1024 
0.632918, Uniform Paths, 20480.0, 1024 
0.052016, Toroslu, 20480.0, 1024 
0.030281, Tree, 20480.0, 1024 
0.020143, SCC, 20480.0, 1024 
0.226233, Dijkstra, 20480.0, 1024 
0.472531, Hidden Paths, 20480.0, 1024 
0.601399, Uniform Paths, 20480.0, 1024 
0.032622, Toroslu, 2048.0, 2048 
0.054248, Tree, 2048.0, 2048 
0.027003, SCC, 2048.0, 2048 
0.135387, Dijkstra, 2048.0, 2048 
1.319954, Hidden Paths, 2048.0, 2048 
1.762238, Uniform Paths, 2048.0, 2048 
0.037112, Toroslu, 2048.0, 2048 
0.054112, Tree, 2048.0, 2048 
0.028087, SCC, 2048.0, 2048 
0.134068, Dijkstra, 2048.0, 2048 
1.341367, Hidden Paths, 2048.0, 2048 
1.762881, Uniform Paths, 2048.0, 2048 
0.032276, Toroslu, 2048.0, 2048 
0.050918, Tree, 2048.0, 2048 
0.024331, SCC, 2048.0, 2048 
0.132288, Dijkstra, 2048.0, 2048 
1.308493, Hidden Paths, 2048.0, 2048 
1.720851, Uniform Paths, 2048.0, 2048 
0.031793, Toroslu, 2048.0, 2048 
0.050301, Tree, 2048.0, 2048 
0.023652, SCC, 2048.0, 2048 
0.131825, Dijkstra, 2048.0, 2048 
1.351176, Hidden Paths, 2048.0, 2048 
1.824518, Uniform Paths, 2048.0, 2048 
0.036958, Toroslu, 2048.0, 2048 
0.060267, Tree, 2048.0, 2048 
0.025330, SCC, 2048.0, 2048 
0.138693, Dijkstra, 2048.0, 2048 
1.345245, Hidden Paths, 2048.0, 2048 
1.751993, Uniform Paths, 2048.0, 2048 
0.074752, Toroslu, 4096.0, 2048 
0.066042, Tree, 4096.0, 2048 
0.031455, SCC, 4096.0, 2048 
0.551699, Dijkstra, 4096.0, 2048 
1.773073, Hidden Paths, 4096.0, 2048 
2.224509, Uniform Paths, 4096.0, 2048 
0.063329, Toroslu, 4096.0, 2048 
0.065346, Tree, 4096.0, 2048 
0.032338, SCC, 4096.0, 2048 
0.570631, Dijkstra, 4096.0, 2048 
1.874398, Hidden Paths, 4096.0, 2048 
2.330375, Uniform Paths, 4096.0, 2048 
0.062668, Toroslu, 4096.0, 2048 
0.064313, Tree, 4096.0, 2048 
0.031432, SCC, 4096.0, 2048 
0.559264, Dijkstra, 4096.0, 2048 
1.784378, Hidden Paths, 4096.0, 2048 
