algorithm, time, V, E, m, sccV, sccE
SCC, 0.103, 2048, 4093, 2, 1215, 2398
Tree, 0.150, 2048, 4093, 2, 1215, 2398
FW, 7.432, 2048, 4093, 2, 1215, 2398
Dijkstra, 6.111, 2048, 4093, 2, 1215, 2398
Toroslu, 0.466, 2048, 4093, 2, 1215, 2398
SCC, 0.073, 2048, 4093, 2, 1137, 2219
Tree, 0.148, 2048, 4093, 2, 1137, 2219
FW, 6.982, 2048, 4093, 2, 1137, 2219
Dijkstra, 5.753, 2048, 4093, 2, 1137, 2219
Toroslu, 0.407, 2048, 4093, 2, 1137, 2219
SCC, 0.077, 2048, 4093, 2, 1137, 2226
Tree, 0.143, 2048, 4093, 2, 1137, 2226
FW, 6.930, 2048, 4093, 2, 1137, 2226
Dijkstra, 5.859, 2048, 4093, 2, 1137, 2226
Toroslu, 0.466, 2048, 4093, 2, 1137, 2226
SCC, 0.209, 2048, 6138, 3, 1716, 5057
Tree, 0.224, 2048, 6138, 3, 1716, 5057
FW, 11.155, 2048, 6138, 3, 1716, 5057
Dijkstra, 8.990, 2048, 6138, 3, 1716, 5057
Toroslu, 1.583, 2048, 6138, 3, 1716, 5057
SCC, 0.206, 2048, 6138, 3, 1698, 5002
Tree, 0.217, 2048, 6138, 3, 1698, 5002
FW, 11.045, 2048, 6138, 3, 1698, 5002
Dijkstra, 8.867, 2048, 6138, 3, 1698, 5002
Toroslu, 1.526, 2048, 6138, 3, 1698, 5002
SCC, 0.213, 2048, 6138, 3, 1744, 5152
Tree, 0.219, 2048, 6138, 3, 1744, 5152
FW, 11.454, 2048, 6138, 3, 1744, 5152
Dijkstra, 9.169, 2048, 6138, 3, 1744, 5152
Toroslu, 1.610, 2048, 6138, 3, 1744, 5152
SCC, 0.358, 2048, 8182, 4, 1909, 7561
Tree, 0.280, 2048, 8182, 4, 1909, 7561
FW, 13.200, 2048, 8182, 4, 1909, 7561
Dijkstra, 10.570, 2048, 8182, 4, 1909, 7561
Toroslu, 3.081, 2048, 8182, 4, 1909, 7561
SCC, 0.360, 2048, 8182, 4, 1917, 7607
Tree, 0.254, 2048, 8182, 4, 1917, 7607
FW, 13.248, 2048, 8182, 4, 1917, 7607
Dijkstra, 10.472, 2048, 8182, 4, 1917, 7607
Toroslu, 3.028, 2048, 8182, 4, 1917, 7607
SCC, 0.373, 2048, 8182, 4, 1913, 7587
Tree, 0.255, 2048, 8182, 4, 1913, 7587
FW, 13.267, 2048, 8182, 4, 1913, 7587
Dijkstra, 10.481, 2048, 8182, 4, 1913, 7587
Toroslu, 3.168, 2048, 8182, 4, 1913, 7587
SCC, 0.494, 2048, 10225, 5, 1989, 9906
Tree, 0.296, 2048, 10225, 5, 1989, 9906
FW, 14.480, 2048, 10225, 5, 1989, 9906
Dijkstra, 11.195, 2048, 10225, 5, 1989, 9906
Toroslu, 4.488, 2048, 10225, 5, 1989, 9906
SCC, 0.501, 2048, 10225, 5, 1977, 9826
Tree, 0.297, 2048, 10225, 5, 1977, 9826
FW, 14.402, 2048, 10225, 5, 1977, 9826
Dijkstra, 11.158, 2048, 10225, 5, 1977, 9826
Toroslu, 4.537, 2048, 10225, 5, 1977, 9826
SCC, 0.517, 2048, 10225, 5, 1998, 9949
Tree, 0.311, 2048, 10225, 5, 1998, 9949
FW, 14.532, 2048, 10225, 5, 1998, 9949
Dijkstra, 11.256, 2048, 10225, 5, 1998, 9949
Toroslu, 4.746, 2048, 10225, 5, 1998, 9949
SCC, 0.426, 4096, 8189, 2, 2299, 4504
Tree, 0.978, 4096, 8189, 2, 2299, 4504
FW, 55.356, 4096, 8189, 2, 2299, 4504
Dijkstra, 26.093, 4096, 8189, 2, 2299, 4504
Toroslu, 3.626, 4096, 8189, 2, 2299, 4504
SCC, 0.392, 4096, 8189, 2, 2320, 4534
Tree, 0.939, 4096, 8189, 2, 2320, 4534
FW, 56.704, 4096, 8189, 2, 2320, 4534
Dijkstra, 26.798, 4096, 8189, 2, 2320, 4534
Toroslu, 3.164, 4096, 8189, 2, 2320, 4534
SCC, 0.391, 4096, 8189, 2, 2235, 4375
Tree, 0.985, 4096, 8189, 2, 2235, 4375
FW, 54.629, 4096, 8189, 2, 2235, 4375
