algorithm, time, V, E, exponent, wccV, wccE, sccV, sccE
SCC, 0.015, 2048, 45, 0.50, 2, 1, 1, 0
Tree, 0.054, 2048, 45, 0.50, 2, 1, 1, 0
FW, 0.028, 2048, 45, 0.50, 2, 1, 1, 0
Dijkstra, 0.049, 2048, 45, 0.50, 2, 1, 1, 0
Toroslu, 0.019, 2048, 45, 0.50, 2, 1, 1, 0
Uniform, 0.071, 2048, 45, 0.50, 2, 1, 1, 0
Hidden, 0.040, 2048, 45, 0.50, 2, 1, 1, 0
SCC, 0.015, 2048, 45, 0.50, 3, 2, 1, 0
Tree, 0.048, 2048, 45, 0.50, 3, 2, 1, 0
FW, 0.021, 2048, 45, 0.50, 3, 2, 1, 0
Dijkstra, 0.049, 2048, 45, 0.50, 3, 2, 1, 0
Toroslu, 0.019, 2048, 45, 0.50, 3, 2, 1, 0
Uniform, 0.067, 2048, 45, 0.50, 3, 2, 1, 0
Hidden, 0.040, 2048, 45, 0.50, 3, 2, 1, 0
SCC, 0.015, 2048, 45, 0.50, 3, 2, 1, 0
Tree, 0.056, 2048, 45, 0.50, 3, 2, 1, 0
FW, 0.028, 2048, 45, 0.50, 3, 2, 1, 0
Dijkstra, 0.049, 2048, 45, 0.50, 3, 2, 1, 0
Toroslu, 0.019, 2048, 45, 0.50, 3, 2, 1, 0
Uniform, 0.065, 2048, 45, 0.50, 3, 2, 1, 0
Hidden, 0.040, 2048, 45, 0.50, 3, 2, 1, 0
SCC, 0.015, 2048, 97, 0.60, 4, 3, 1, 0
Tree, 0.055, 2048, 97, 0.60, 4, 3, 1, 0
FW, 0.027, 2048, 97, 0.60, 4, 3, 1, 0
Dijkstra, 0.050, 2048, 97, 0.60, 4, 3, 1, 0
Toroslu, 0.020, 2048, 97, 0.60, 4, 3, 1, 0
Uniform, 0.067, 2048, 97, 0.60, 4, 3, 1, 0
Hidden, 0.039, 2048, 97, 0.60, 4, 3, 1, 0
SCC, 0.015, 2048, 97, 0.60, 3, 2, 1, 0
Tree, 0.053, 2048, 97, 0.60, 3, 2, 1, 0
FW, 0.027, 2048, 97, 0.60, 3, 2, 1, 0
Dijkstra, 0.049, 2048, 97, 0.60, 3, 2, 1, 0
Toroslu, 0.019, 2048, 97, 0.60, 3, 2, 1, 0
Uniform, 0.067, 2048, 97, 0.60, 3, 2, 1, 0
Hidden, 0.040, 2048, 97, 0.60, 3, 2, 1, 0
SCC, 0.017, 2048, 97, 0.60, 5, 4, 1, 0
Tree, 0.049, 2048, 97, 0.60, 5, 4, 1, 0
FW, 0.027, 2048, 97, 0.60, 5, 4, 1, 0
Dijkstra, 0.052, 2048, 97, 0.60, 5, 4, 1, 0
Toroslu, 0.019, 2048, 97, 0.60, 5, 4, 1, 0
Uniform, 0.070, 2048, 97, 0.60, 5, 4, 1, 0
Hidden, 0.040, 2048, 97, 0.60, 5, 4, 1, 0
SCC, 0.016, 2048, 208, 0.70, 6, 5, 1, 0
Tree, 0.052, 2048, 208, 0.70, 6, 5, 1, 0
FW, 0.029, 2048, 208, 0.70, 6, 5, 1, 0
Dijkstra, 0.051, 2048, 208, 0.70, 6, 5, 1, 0
Toroslu, 0.020, 2048, 208, 0.70, 6, 5, 1, 0
Uniform, 0.070, 2048, 208, 0.70, 6, 5, 1, 0
Hidden, 0.041, 2048, 208, 0.70, 6, 5, 1, 0
SCC, 0.015, 2048, 208, 0.70, 7, 6, 1, 0
Tree, 0.048, 2048, 208, 0.70, 7, 6, 1, 0
FW, 0.022, 2048, 208, 0.70, 7, 6, 1, 0
Dijkstra, 0.049, 2048, 208, 0.70, 7, 6, 1, 0
