time(s), algorithm, edges, vertices 
0.015323, Toroslu, 1024.0, 1024 
0.018262, Tree, 1024.0, 1024 
0.007588, SCC, 1024.0, 1024 
0.037835, Dijkstra, 1024.0, 1024 
0.326478, Hidden Paths, 1024.0, 1024 
0.417294, Uniform Paths, 1024.0, 1024 
0.012835, Toroslu, 2048.0, 1024 
0.015516, Tree, 2048.0, 1024 
0.007980, SCC, 2048.0, 1024 
0.126863, Dijkstra, 2048.0, 1024 
0.427245, Hidden Paths, 2048.0, 1024 
0.530535, Uniform Paths, 2048.0, 1024 
0.021700, Toroslu, 4096.0, 1024 
0.020538, Tree, 4096.0, 1024 
0.011288, SCC, 4096.0, 1024 
0.164591, Dijkstra, 4096.0, 1024 
0.456541, Hidden Paths, 4096.0, 1024 
0.552704, Uniform Paths, 4096.0, 1024 
0.038324, Toroslu, 10240.0, 1024 
0.026642, Tree, 10240.0, 1024 
0.016869, SCC, 10240.0, 1024 
0.201851, Dijkstra, 10240.0, 1024 
0.453217, Hidden Paths, 10240.0, 1024 
0.572424, Uniform Paths, 10240.0, 1024 
0.049938, Toroslu, 20480.0, 1024 
0.030504, Tree, 20480.0, 1024 
0.019208, SCC, 20480.0, 1024 
0.226656, Dijkstra, 20480.0, 1024 
0.459664, Hidden Paths, 20480.0, 1024 
0.596641, Uniform Paths, 20480.0, 1024 
0.034746, Toroslu, 2048.0, 2048 
0.058226, Tree, 2048.0, 2048 
0.023725, SCC, 2048.0, 2048 
0.138058, Dijkstra, 2048.0, 2048 
1.322710, Hidden Paths, 2048.0, 2048 
1.705689, Uniform Paths, 2048.0, 2048 
0.063728, Toroslu, 4096.0, 2048 
0.067325, Tree, 4096.0, 2048 
0.030644, SCC, 4096.0, 2048 
0.567146, Dijkstra, 4096.0, 2048 
1.816444, Hidden Paths, 4096.0, 2048 
2.240272, Uniform Paths, 4096.0, 2048 
0.119432, Toroslu, 8192.0, 2048 
0.099918, Tree, 8192.0, 2048 
0.045926, SCC, 8192.0, 2048 
0.695075, Dijkstra, 8192.0, 2048 
1.961758, Hidden Paths, 8192.0, 2048 
2.386447, Uniform Paths, 8192.0, 2048 
0.235197, Toroslu, 22528.0, 2048 
0.128893, Tree, 22528.0, 2048 
0.067422, SCC, 22528.0, 2048 
0.835400, Dijkstra, 22528.0, 2048 
1.995844, Hidden Paths, 22528.0, 2048 
2.445503, Uniform Paths, 22528.0, 2048 
0.303823, Toroslu, 45056.0, 2048 
0.151336, Tree, 45056.0, 2048 
0.080784, SCC, 45056.0, 2048 
0.937185, Dijkstra, 45056.0, 2048 
2.000295, Hidden Paths, 45056.0, 2048 
2.433179, Uniform Paths, 45056.0, 2048 
