algorithm, time, V, E, density, WCCs, wccV, wccE, SCCs, sccV, sccE
Toro, 0.209, 1024, 140747, 0.10, 1, 1024, 140747, 10, 213, 214
FW, 0.924, 1024, 140747, 0.10, 1, 1024, 140747, 10, 213, 214
Uniform, 2.807, 1024, 140747, 0.10, 1, 1024, 140747, 10, 213, 214
Hidden, 2.185, 1024, 140747, 0.10, 1, 1024, 140747, 10, 213, 214
Dijsktra, 1.054, 1024, 140747, 0.10, 1, 1024, 140747, 10, 213, 214
SCC, 0.690, 1024, 140747, 0.10, 1, 1024, 140747, 10, 213, 214
Tree, 0.150, 1024, 140747, 0.10, 1, 1024, 140747, 10, 213, 214
Toro, 0.063, 1024, 78139, 0.10, 1, 1024, 78139, 10, 358, 359
FW, 0.701, 1024, 78139, 0.10, 1, 1024, 78139, 10, 358, 359
Uniform, 2.157, 1024, 78139, 0.10, 1, 1024, 78139, 10, 358, 359
Hidden, 1.712, 1024, 78139, 0.10, 1, 1024, 78139, 10, 358, 359
Dijsktra, 0.560, 1024, 78139, 0.10, 1, 1024, 78139, 10, 358, 359
SCC, 0.480, 1024, 78139, 0.10, 1, 1024, 78139, 10, 358, 359
Tree, 0.065, 1024, 78139, 0.10, 1, 1024, 78139, 10, 358, 359
Toro, 0.165, 1024, 87544, 0.10, 1, 1024, 87544, 10, 306, 307
FW, 0.958, 1024, 87544, 0.10, 1, 1024, 87544, 10, 306, 307
Uniform, 2.880, 1024, 87544, 0.10, 1, 1024, 87544, 10, 306, 307
Hidden, 2.246, 1024, 87544, 0.10, 1, 1024, 87544, 10, 306, 307
Dijsktra, 1.020, 1024, 87544, 0.10, 1, 1024, 87544, 10, 306, 307
SCC, 0.749, 1024, 87544, 0.10, 1, 1024, 87544, 10, 306, 307
Tree, 0.099, 1024, 87544, 0.10, 1, 1024, 87544, 10, 306, 307
Toro, 0.231, 1024, 146088, 0.50, 1, 1024, 146088, 10, 269, 285
FW, 0.962, 1024, 146088, 0.50, 1, 1024, 146088, 10, 269, 285
Uniform, 2.998, 1024, 146088, 0.50, 1, 1024, 146088, 10, 269, 285
